0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
0.0000 	0.0024 	0.0000 	0.0000 	0.0087 	0.0070 
0.0000 	0.0024 	0.0000 	0.0000 	0.0065 	0.0052 
0.0000 	0.0000 	0.0000 	0.0000 	0.0218 	0.0175 
0.0000 	0.0000 	0.0131 	0.0048 	0.0349 	0.0279 
0.0000 	-0.0048 	0.0131 	0.0165 	0.0218 	0.0175 
0.0000 	0.0000 	0.0284 	0.0179 	0.0240 	0.0192 
0.0000 	-0.0107 	0.0109 	0.0359 	0.0349 	0.0279 
0.0000 	-0.0189 	0.0611 	0.0320 	0.0894 	0.0716 
0.0000 	-0.0199 	0.0240 	0.0587 	0.1265 	0.0716 
0.0000 	-0.0199 	0.1222 	0.0538 	0.0938 	0.0750 
0.0000 	-0.0286 	0.1462 	0.0669 	0.0851 	0.0681 
0.0000 	-0.0388 	0.1527 	0.0848 	0.1244 	0.0995 
0.0000 	-0.0475 	0.1222 	0.0877 	0.1527 	0.1222 
0.0000 	-0.0645 	0.0829 	0.1008 	0.2029 	0.0000 
0.0000 	-0.0441 	0.0851 	0.1348 	0.2378 	-0.1035 
0.0000 	-0.0669 	0.2247 	0.1353 	0.1680 	-0.2286 
0.0000 	-0.0839 	0.1876 	0.1324 	0.3381 	-0.1798 
0.0244 	-0.0941 	0.1113 	0.1634 	0.3447 	-0.2059 
0.0488 	-0.0877 	0.0894 	0.1745 	0.3098 	-0.2426 
0.0733 	-0.1052 	0.2094 	0.1799 	0.2858 	-0.2374 
0.0733 	-0.0979 	0.1745 	0.2065 	0.2422 	-0.2810 
0.0733 	-0.1333 	0.2138 	0.2240 	0.4232 	-0.2950 
0.0977 	-0.1071 	0.2858 	0.2487 	0.3709 	-0.3019 
0.0244 	-0.1454 	0.1963 	0.2695 	0.2618 	-0.3333 
0.0244 	-0.1513 	0.2596 	0.2822 	0.5170 	-0.4032 
0.0000 	-0.1537 	0.2073 	0.2792 	0.3709 	-0.3770 
0.0000 	-0.1653 	0.2225 	0.3059 	0.4123 	-0.4084 
0.0733 	-0.1673 	0.2400 	0.3064 	0.3818 	-0.4049 
0.1465 	-0.1808 	0.2291 	0.3340 	0.4516 	-0.4765 
0.1465 	-0.1891 	0.2662 	0.3379 	0.5607 	-0.4625 
0.1709 	-0.1988 	0.3251 	0.3558 	0.4690 	-0.4485 
0.1953 	-0.2007 	0.2291 	0.3655 	0.4996 	-0.4834 
